Feature ID,Surface,Feature / capability,User story,Expected behavior based on code,Code anchors,Initial test approach,Initial test command or route,Status,Test result,Errors,Fix status,Retest result,Notes
F011,Hook runtime,Context duplicate-injection gate inspection,"As a maintainer, I want to inspect recent context gate decisions when SessionStart output is silent.",`remem context-gate status` filters by project/session/limit and supports JSON.,src/cli/types.rs; src/context/injection_gate/,Command help and JSON status smoke,target/release/remem context-gate status --json,Passed,Focused temp-home CLI smoke passed for this command surface.,Initial context-gate smoke failed before database initialization; rerun after remem encrypt passed.,No repo fix; smoke setup corrected to initialize encrypted DB first,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F012,Hook runtime,Session initialization capture,"As a Claude/Codex hook, I want session identity registered before later capture and summarize steps.",`remem session-init --host ...` is a hook entrypoint for starting capture sessions.,src/cli/types.rs; src/adapter/; docs/ARCHITECTURE.md,Hook command smoke with minimal stdin/temp data,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem session-init --host codex-cli,Passed,Temp HOME/REMEM_DATA_DIR first-run smoke passed for install/status/context/session-init/doctor/uninstall flow.,"",No fix needed,Passed after code fixes; first-run smoke remained green.,Initial QA run used release binary target/release/remem 0.5.118 against isolated temp HOME/data; PR metadata was later bumped to 0.5.119 by the logistics fixes.
F013,Hook runtime,Tool/prompt observation capture,"As a Claude hook, I want tool operations filtered, normalized, and appended to the capture ledger quickly.",`remem observe --host ...` records supported events; Codex Bash observe is opt-in through `REMEM_ENABLE_CODEX_BASH_OBSERVE=1`.,src/cli/types.rs; src/observe.rs; src/adapter/; docs/ARCHITECTURE.md,Existing observe tests plus minimal hook smoke,cargo test observe::tests adapter::,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F014,Hook runtime,Stop summarization and worker dispatch,"As an agent session, I want Stop to enqueue summarization/extraction without blocking the host.",`remem summarize --host ...` queues jobs and spawns worker; gates skip empty/duplicate/cooldown evidence.,src/cli/types.rs; src/summarize.rs; docs/ARCHITECTURE.md,Focused summarize tests and temp command smoke,cargo test summarize::tests --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F015,Worker,Background worker drain,"As a maintainer, I want to process ready extraction/summary/candidate jobs once or as a loop.",`remem worker --once` processes ready work and exits; worker loop has global timeout behavior.,src/cli/types.rs; src/worker.rs; docs/ARCHITECTURE.md,Temp data worker once smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem worker --once,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F016,MCP,MCP server tools,"As an AI client, I want MCP tools for search, get_observations, timeline, timeline_report, save_memory, workstreams, and update_workstream.",`remem mcp` serves stdio MCP with read/write tools and structured parameter/result types.,src/mcp/server.rs; src/mcp/server/*_tools.rs; docs/ARCHITECTURE.md,Focused MCP tests,cargo test mcp::server --lib,Passed after fix,Initial full cargo test failed in mcp::server::tests::mcp_tool_errors_report_db_open_failure_as_retryable.,Parallel full-suite run sometimes created REMEM_DATA_DIR as a directory before the fixture could create the same path as a blocking file; panic: create blocking file: Is a directory (os error 21).,"Fixed test fixture to create remem.db as a blocking directory inside an existing temp data dir, preserving the DB-open failure assertion without racing global data-dir creation.",Targeted MCP test and full cargo test passed. 2026-06-22 re-verify: cargo test mcp_tool_errors_report_db_open_failure_as_retryable --lib -> 1 passed; cargo test --lib mcp::server -> 44 passed (this session).,User-facing MCP behavior unchanged; fix removes logistical test flake.
F017,REST API,API auth and liveness,"As a local dashboard client, I want loopback API endpoints protected by bearer token and a cheap health probe.","`remem api --port` binds 127.0.0.1, creates/uses `.api-token`, and `/api/v1/health` requires Authorization.",src/api/server.rs; src/api/auth.rs; src/api/handlers/health.rs; README.md,Smoke native API script or temp server curl,scripts/smoke_native_web_api.sh,Passed after fix,Initial native API smoke failed before reaching endpoint checks because default port 5567 was already in use.,scripts/smoke_native_web_api.sh log: Error: Address already in use (os error 48).,Fixed smoke script to auto-select a free loopback port when REMEM_API_SMOKE_PORT is not explicitly set.,"Native API smoke passed on auto-selected port and covered auth, health, status, capabilities, memories, search, candidates, graph, stats, recall, and not-found paths. 2026-06-22 re-verify: smoke without REMEM_API_SMOKE_PORT -> EXIT 0 on free port 57936; override REMEM_API_SMOKE_PORT=5567 blocked by user remem API PID 10539 (Blocked-Env not a script defect); cargo test --test api_public -> 2 passed (this session).",Explicit REMEM_API_SMOKE_PORT remains supported for deterministic runs.
F018,REST API,Capabilities and cached status,"As a web client, I want feature detection and cached status with TTL so dashboards avoid expensive polling.",`GET /api/v1/capabilities` exposes optional feature support; `GET /api/v1/status?refresh=true` supports explicit refresh and cache metadata.,src/api/handlers/capabilities.rs; src/api/handlers/status.rs; docs/specs/status-health-performance/,API tests and curl smoke,cargo test api::tests api_public --test api_public,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F019,REST API,Memory search and compact detail,"As a user, I want authenticated REST search and compact single-memory detail.",`GET /api/v1/search` accepts query/project/type/limit/offset/branch/multi_hop/include_suppressed; `GET /api/v1/memory` fetches one compact memory.,src/api/handlers/search.rs; src/api/handlers/show.rs; tests/api_public.rs,API public tests,cargo test --test api_public,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F020,REST API,"Memory browse, rich detail, and save","As a dashboard user, I want browse filters, rich detail, and explicit memory save through the REST API.","`GET /api/v1/memories`, `GET /api/v1/memories/{id}`, and `POST /api/v1/memories` implement browse/detail/save; `/api/v1/memories/list` is an alias.",src/api/handlers/list.rs; src/api/handlers/detail.rs; src/api/handlers/save.rs; README.md,API tests plus temp POST smoke,cargo test api::tests:: --lib,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F021,REST API,Candidate review endpoints,"As a reviewer, I want pending candidates listed and approved/rejected/edited through REST.","`/api/v1/candidates` lists compact candidates; `/approve`, `/reject`, `/edit` mutate candidate lifecycle.",src/api/handlers/candidates.rs; src/api/handlers/candidate_review.rs; src/memory_candidate/,API handler tests,cargo test memory_candidate api:: --lib,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F022,REST API,Graph and stats read models,"As a dashboard, I want graph and product stats data for memory visualization.",`GET /api/v1/graph` reads entity graph data with project/limit/include_suppressed; `GET /api/v1/stats` returns dashboard stats.,src/api/handlers/graph.rs; src/api/handlers/stats.rs; src/retrieval/entity/,API graph/stats tests,cargo test api::tests web_regressions --lib,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F023,REST API,Task-aware user recall endpoint,"As a client, I want on-demand user-context recall with included/dropped source diagnostics.",`POST /api/v1/user/recall` exposes CLI/MCP parity for user recall and suppression/sensitivity controls.,src/api/handlers/user_recall.rs; src/user_context/recall/; README.md,Focused user recall tests,cargo test user_context::recall --lib,Passed,Native API smoke and Rust API tests passed for this REST surface.,"",No fix needed,Passed after smoke script port fix.,API smoke included unauthorized checks and bearer-token protected requests.
F024,CLI retrieval,Curated memory search/show/why/current,"As a terminal user, I want to search memories, show details, explain visibility, and resolve current state keys.","`search`, `show`, `why`, and `current` expose curated retrieval, scoring/visibility explanation, and state-key resolution with JSON where supported.",src/cli/types.rs; src/retrieval/; src/memory/current_state/,Focused retrieval/current-state tests and help smoke,cargo test retrieval:: memory::current_state --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F025,CLI retrieval,Raw archive search,"As an auditor, I want literal raw chat archive search separate from curated memory search.",`remem raw search` supports query/project/branch/role/limit/offset/json and does not masquerade as curated memory.,src/cli/query_types.rs; src/memory/raw_archive/; README.md,Raw archive tests,cargo test memory::raw_archive --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F026,CLI timeline,Timeline around and report,"As a user, I want chronological context around an anchor/query and a project timeline report.","`remem timeline around` and `remem timeline report` support project filters, depths, full reports, and JSON.",src/cli/query_types.rs; src/timeline.rs; src/timeline/tests.rs,Timeline tests and help smoke,cargo test timeline --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F027,CLI workstreams,Workstream list/update,"As a user, I want active workstreams listed and manual status/next-action/blocker updates confirmed.","`remem workstreams list` requires project; `update` requires id, project, a changed field, and `--confirm` for mutation.",src/cli/query_types.rs; src/workstream/,Workstream tests,cargo test workstream --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F028,CLI commit trace,Commit lookup and session commits,"As a maintainer, I want git commits linked to memory sessions without inventing intent when links are absent.",`remem commit show` and `commit session` return git metadata plus linked session evidence with JSON support.,src/cli/query_types.rs; src/mcp/server/commit_tools.rs; plugins/remem/apps/remem/trace.js,Trace/commit tests,cargo test cli::tests_trace mcp::server::commit_tools --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F029,CLI preferences,Project/global preferences,"As a user, I want to list/add/remove preferences and choose project vs explicit global scope.",`remem preferences list/add/remove` supports project and `--global`; global injection remains explicit/limited.,src/cli/types.rs; src/preference.rs; src/memory/preference/tests.rs,Preference tests,cargo test memory::preference --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F030,CLI user context,Manual user claims lifecycle,"As a user, I want to remember, list, show, explain, edit, suppress, unsuppress, or delete user-context claims.",`remem user remember` and `user claims ...` manage audited claim rows with owner scope/key/type/sensitivity/validity and JSON outputs.,src/cli/query_types.rs; src/user_context/claims.rs; docs/specs/user-context-layer/,User context claim tests,cargo test user_context::claims cli::actions::user --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F031,CLI user context,Profile summary lifecycle,"As a user, I want a safe profile summary compiled, refreshed, manually edited, and source-audited.","`remem user summary show/refresh/edit/sources` works by owner scope/key and project, with JSON outputs.",src/cli/query_types.rs; src/user_context/summary/,User summary tests,cargo test user_context::summary --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F032,CLI user context,Review automatic user-context candidates,"As a reviewer, I want pending user-context candidates reviewed before activation.","`remem user review inbox/approve/edit/reject/suppress` enforces candidate support, stable keys, source refs, and conflict handling.",src/cli/query_types.rs; src/user_context/candidates.rs; src/user_context/extraction/,User candidate tests,cargo test user_context::candidates user_context::extraction --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F033,CLI governance,Suppression and feedback policy,"As a user, I want to suppress/unsuppress memory targets and record feedback without deleting audit rows.","`remem memory suppress/unsuppress/feedback/suppressions list` handles memory, claim, topic, entity, pattern, or summary targets and default reads omit active suppressions.",src/cli/memory_types.rs; src/memory/governance/; README.md,Governance tests,cargo test memory::governance --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F034,CLI governance,Dry-run-first cleanup plan,"As a maintainer, I want data cleanup plans previewed before application.",`remem memory cleanup` supports cwd/type/all_types/dry_run/plan_out/apply/plan/json; preference cleanup is the current typed cleanup.,src/cli/memory_types.rs; src/memory/scope_cleanup/,Cleanup plan tests,cargo test memory::scope_cleanup --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F035,CLI governance,Bulk govern curated memories,"As an auditor, I want dry-run-first stale/reject/delete by ids, file/stdin, or selectors.",`remem govern` selects by IDs/query/type/status/project and requires reason plus `--confirm-destructive` for non-dry-run mutations.,src/cli/types.rs; src/memory/governance/,Govern dry-run tests/help,target/release/remem govern --help,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F036,CLI governance,Ownership audit/reroute/archive/merge preferences,"As a maintainer, I want scoped memories audited, rerouted, archived, and duplicate preferences merged without hard-deleting history.","`audit-scope`, `reroute`, `archive`, and `merge-preferences` expose dry-run/confirm/json guardrails.",src/cli/types.rs; src/memory/scope_cleanup/; src/workstream/,Focused ownership tests,cargo test memory::scope_cleanup workstream --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F037,CLI pending,Pending and extraction range repair,"As an operator, I want failed legacy pending rows and exhausted extraction ranges inspected, retried, migrated, quarantined, or purged.",`remem pending ...` commands expose list/retry/purge/migrate legacy rows and list/retry/quarantine extraction ranges with dry-run/json where implemented.,src/cli/types.rs; src/db/pending/; src/db/extraction/,Pending admin tests,cargo test db::pending db::extraction --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F038,CLI review,Memory candidate review,"As a reviewer, I want memory candidates listed, approved, edited, or discarded before promotion.",`remem review list/approve/discard/edit` supports project/limit and editable text/topic/type/scope.,src/cli/types.rs; src/memory_candidate/,Candidate tests,cargo test memory_candidate --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F039,CLI graph review,Graph candidate review,"As a reviewer, I want graph candidates listed, inspected, approved, rejected, or deferred with reasons.",`remem graph-review list/inspect/approve/reject/defer` governs graph candidate lifecycle.,src/cli/types.rs; src/graph_candidate/,Graph candidate tests,cargo test graph_candidate --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F040,CLI reporting,Usage accounting,"As an operator, I want token/cost usage by day and week with project filtering.","`remem usage` renders calls/token/cache/reasoning/cost buckets from `ai_usage_events`, with explicit estimate precision.",src/cli/types.rs; src/memory/usage/; README.md,Usage tests/help,cargo test memory::usage --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F041,CLI retention,Retention cleanup,"As an operator, I want old events, expired/stale memories, workstreams, and eligible compressed sources cleaned safely.",`remem cleanup --dry-run --json` previews retention counts; non-dry-run applies retention policy.,src/cli/types.rs; README.md; src/db/,Cleanup smoke with temp data,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem cleanup --dry-run --json,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F042,CLI native memory,Claude native memory sync,"As a Claude Code user, I want a compact project memory pointer synced into CLAUDE.md/native memory without losing DB detail.",`remem sync-memory --cwd .` writes compact native-memory sync output with size guards.,src/cli/types.rs; src/context/claude_memory/; README.md,Focused native memory tests,cargo test context::claude_memory --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F043,CLI archive,Human-editable Markdown export/import,"As a user, I want curated memories exported to an empty Markdown mirror and imported after edits.",`remem export --markdown --output ...` refuses non-empty dirs; `remem import markdown --source ...` updates rows and indexes.,src/cli/archive_types.rs; src/cli/actions/markdown_archive/; README.md,Markdown archive tests,cargo test cli::actions::markdown_archive --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F044,CLI backup,Database backup,"As an operator, I want a timestamped backup of the existing remem database.",`remem admin backup` writes a backup path or default data-dir backup file.,src/cli/types.rs; src/cli/actions.rs,Temp data backup smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem admin backup,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F045,CLI eval,Retrieval/e2e/governance/evaluation commands,"As a maintainer, I want deterministic eval gates for retrieval, local API behavior, governance, extraction, graph decisions, weight grids, and injection gates.","`eval`, `eval-e2e`, `eval-governance`, `eval-extraction`, `eval-graph-decision`, `eval-weight-grid`, `eval-gates`, and `eval-local` expose evaluation surfaces.",src/cli/types.rs; src/eval/; eval/golden.json; README.md,Focused eval tests and lightweight eval commands,cargo test eval:: --lib,Passed,cargo test eval:: --lib passed; eval-extraction --json --check-baseline and eval-gates --json-out also passed.,"",No fix needed,Passed after MCP and API smoke fixes.,eval-gates reported metrics=53 passed=true; extraction metrics were 1.0 on checked cases.
F046,CLI maintenance,Backfill entities and embeddings,"As a maintainer, I want existing memories reindexed for entities or embeddings after schema/algorithm changes.","`backfill-entities` and `backfill-embeddings` process existing rows, with embedding limit and batch-size flags.",src/cli/types.rs; src/retrieval/entity/; src/retrieval/embedding/,Focused retrieval index tests,cargo test retrieval::entity retrieval::embedding --lib,Passed,"Full cargo test passed, covering this Rust feature surface through focused unit/integration tests.","",No fix needed,Passed after MCP test-fixture fix.,"Included in broad cargo test gate: lib, API public, benchmark, eval, install status, rate limit, search/vector benchmark, and doctest targets."
F047,CLI maintenance,Dream memory merging,"As a maintainer, I want duplicate or overlapping memories merged with dry-run support.",`remem dream` can restrict by project/profile and supports `--dry-run` to preview merges.,src/cli/types.rs; src/memory/dream or summarize/compress paths; README.md,Help and dry-run smoke,HOME=$tmp_home REMEM_DATA_DIR=$tmp_data target/release/remem dream --dry-run,Passed,Focused temp-home CLI smoke passed for this command surface.,"",No fix needed,Passed in focused CLI smoke after encrypted DB setup and post-fix verification.,Smoke covered help/dry-run/once behavior without touching real HOME.
F048,Plugin runtime,Version-matched runtime resolution,"As a Codex plugin user, I want the plugin to use a version-matched managed runtime instead of silently picking a stale PATH binary.","Runtime resolution order is `REMEM_BINARY`, plugin data bin, target/release, target/debug, then PATH reported but not silently adopted; version mismatch is rejected unless explicit env override.",plugins/remem/scripts/remem-runtime.js; plugins/remem/README.md; plugins/remem/runtimes/remem-releases.json,Node runtime tests,node --test plugins/remem/scripts/remem-runtime.test.js,Passed,node --test plugins/remem/scripts/remem-runtime.test.js passed.,"",No fix needed,Passed after code fixes.,Runtime resolution and hook wrapper behavior covered by plugin runtime tests.
